TYPE	VALUE	LINE NO	LEX PO
BAR	|	1	0
INT	int	1	1
IDENTIFIER	A	1	5
BAR	|	1	6
SEMICOLON	;	1	7
READ	read	3	85
LPAREN	(	3	90
IDENTIFIER	A	3	91
RPAREN	)	3	92
SEMICOLON	;	3	93
BAR	|	4	95
FLOAT	float	4	96
IDENTIFIER	x	4	102
EQUAL	=	4	104
LESSTHAN	<	4	106
FLOATVALUE	9.0	4	108
DIV	/	4	112
FLOATVALUE	5.0	4	114
GREATERTHAN	>	4	118
BAR	|	4	120
SEMICOLON	;	4	121
BAR	|	5	123
INT	int	5	124
IDENTIFIER	z	5	128
EQUAL	=	5	130
LESSTHAN	<	5	132
IDENTIFIER	x	5	134
MULT	*	5	136
IDENTIFIER	A	5	138
GREATERTHAN	>	5	140
BAR	|	5	142
SEMICOLON	;	5	143
BAR	|	6	145
INT	int	6	146
IDENTIFIER	y	6	150
EQUAL	=	6	152
LESSTHAN	<	6	154
CONSTANT	32	6	155
GREATERTHAN	>	6	157
BAR	|	6	159
BAR	|	7	161
INT	int	7	162
IDENTIFIER	answer	7	166
EQUAL	=	7	173
LESSTHAN	<	7	175
IDENTIFIER	z	7	176
PLUS	+	7	178
CONSTANT	32	7	180
GREATERTHAN	>	7	182
BAR	|	7	183
SEMICOLON	;	7	184
IF	if	10	233
LPAREN	(	10	236
IDENTIFIER	answer	10	237
GREATEREQ	>=	10	244
CONSTANT	100	10	247
RPAREN	)	10	250
END	end	12	273
ELIF	elif	13	277
LPAREN	(	13	282
IDENTIFIER	answer	13	283
GREATEREQ	>=	13	290
CONSTANT	50	13	293
RPAREN	)	13	295
END	end	15	323
ELIF	elif	16	327
LPAREN	(	16	332
IDENTIFIER	answer	16	333
GREATEREQ	>=	16	340
CONSTANT	20	16	343
RPAREN	)	16	345
END	end	18	368
ELSE	else	19	372
END	end	21	402
END	end	22	406
